movieId,title,genres,year,text,tag
274,man of the house (1995),comedy,1995,man of the house (1995) comedy 1995 ,
275,mixed nuts (1994),comedy,1994,mixed nuts (1994) comedy 1994 ,
276,milk money (1994),comedy romance,1994,milk money (1994) comedy romance 1994 ,
277,miracle on 34th street (1994),drama,1994,miracle on 34th street (1994) drama 1994 christmas,christmas
278,miami rhapsody (1995),comedy,1995,miami rhapsody (1995) comedy 1995 ,
279,my family (1995),drama,1995,my family (1995) drama 1995 in netflix queue,in netflix queue
280,murder in the first (1995),drama thriller,1995,murder in the first (1995) drama thriller 1995 prison,prison
281,nobody's fool (1994),comedy drama romance,1994,nobody's fool (1994) comedy drama romance 1994 ,
282,nell (1994),drama,1994,nell (1994) drama 1994 disability twins,disability twins
283,new jersey drive (1995),crime drama,1995,new jersey drive (1995) crime drama 1995 ,
284,new york cop (nyû yôku no koppu) (1993),action crime,1993,new york cop (nyû yôku no koppu) (1993) action crime 1993 ,
285,beyond bedlam (1993),drama horror,1993,beyond bedlam (1993) drama horror 1993 ,
287,nina takes a lover (1994),comedy romance,1994,nina takes a lover (1994) comedy romance 1994 ,
288,natural born killers (1994),action crime thriller,1994,natural born killers (1994) action crime thriller 1994 brutality controversial dark comedy psychedelic satire stylized,brutality controversial dark comedy psychedelic satire stylized
289,only you (1994),comedy romance,1994,only you (1994) comedy romance 1994 ,
290,once were warriors (1994),crime drama,1994,once were warriors (1994) crime drama 1994 in netflix queue,in netflix queue
291,poison ivy ii (1996),drama thriller,1996,poison ivy ii (1996) drama thriller 1996 ,
292,outbreak (1995),action drama sci-fi thriller,1995,outbreak (1995) action drama sci-fi thriller 1995 ,
293,léon: the professional (a.k.a. the professional) (léon) (1994),action crime drama thriller,1994,léon: the professional (a.k.a. the professional) (léon) (1994) action crime drama thriller 1994 assassin jean reno hit men action assassination assassins awkward romance corruption crime disturbing drama french friendship gary oldman great acting guns hitman humorous imdb top 250 lolita theme loneliness love story luc besson natalie portman organized crime police police corruption quirky sniper tense touching unique,assassin jean reno hit men action assassination assassins awkward romance corruption crime disturbing drama french friendship gary oldman great acting guns hitman humorous imdb top 250 lolita theme loneliness love story luc besson natalie portman organized crime police police corruption quirky sniper tense touching unique
294,"perez family, the (1995)",comedy romance,1995,"perez family, the (1995) comedy romance 1995 ",
295,"pyromaniac's love story, a (1995)",comedy romance,1995,"pyromaniac's love story, a (1995) comedy romance 1995 ",
